epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.502,1.47192,1.96615,1.35128,0.81739,0.64434,0.83288,0.4111,1.46622,1.86395,1.14803,0.000415958,0.000415958,0.000415958
2,242.777,1.28841,1.29534,1.23724,0.86454,0.78404,0.88246,0.4919,1.38234,1.45012,1.1804,0.000824382,0.000824382,0.000824382
3,362.857,1.19844,1.13629,1.19257,0.80381,0.88696,0.88437,0.49616,1.31726,1.25285,1.12668,0.00122456,0.00122456,0.00122456
4,484.974,1.13132,1.02988,1.16659,0.91664,0.88707,0.94623,0.55149,1.21986,0.83299,1.11185,0.00121287,0.00121287,0.00121287
5,605.442,1.07153,0.94862,1.13633,0.89886,0.92194,0.94486,0.56615,1.14312,0.78227,1.06045,0.0012005,0.0012005,0.0012005
6,726.065,1.03481,0.88266,1.11559,0.8155,0.91222,0.9466,0.52576,1.2401,0.90335,1.10405,0.00118812,0.00118812,0.00118812
7,846.379,1.01449,0.84616,1.10506,0.94406,0.92752,0.96311,0.57235,1.32737,0.68916,1.02742,0.00117575,0.00117575,0.00117575
8,966.919,0.97773,0.81476,1.09239,0.9298,0.90081,0.96365,0.60074,1.09431,0.87566,1.04836,0.00116337,0.00116337,0.00116337
9,1087.74,0.95893,0.78548,1.08674,0.92967,0.93163,0.95389,0.61167,0.9801,0.70618,1.01585,0.001151,0.001151,0.001151
10,1209.83,0.94269,0.766,1.08307,0.92229,0.94672,0.96567,0.58921,1.10184,0.6354,1.02097,0.00113863,0.00113863,0.00113863
11,1329.2,0.91502,0.72701,1.0641,0.94637,0.92677,0.96305,0.63507,1.03841,0.59934,1.01912,0.00112625,0.00112625,0.00112625
12,1447.94,0.90658,0.71832,1.06762,0.93328,0.93985,0.95049,0.60073,1.00159,0.64357,0.99414,0.00111388,0.00111388,0.00111388
13,1566.24,0.88006,0.70011,1.05064,0.92492,0.94106,0.95691,0.62431,1.0025,0.57412,0.97314,0.0011015,0.0011015,0.0011015
14,1684.22,0.87822,0.68817,1.0545,0.94266,0.9558,0.96254,0.63165,1.00949,0.61964,1.05117,0.00108913,0.00108913,0.00108913
15,1803.29,0.87785,0.68827,1.05428,0.91153,0.94826,0.96884,0.633,1.03059,0.62051,0.98365,0.00107675,0.00107675,0.00107675
16,1922.32,0.8575,0.6634,1.03985,0.92989,0.9544,0.96129,0.63448,1.00247,0.5884,1.03877,0.00106437,0.00106437,0.00106437
17,2042.01,0.84433,0.65238,1.03538,0.93794,0.94088,0.96845,0.63239,1.02817,0.54053,0.98061,0.001052,0.001052,0.001052
18,2164.1,0.84382,0.65547,1.04002,0.93643,0.939,0.95889,0.62788,1.01404,0.59835,0.99652,0.00103962,0.00103962,0.00103962
