epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21643.1,0.67709,0.46273,1.01129,0.97877,0.95771,0.9776,0.67688,0.97207,0.4784,1.03986,0.000742625,0.000742625,0.000742625
43,22157.4,0.67545,0.46285,1.01096,0.97141,0.95589,0.97908,0.66304,0.99614,0.47006,1.00455,0.00073025,0.00073025,0.00073025
44,22671.4,0.67101,0.4558,1.0062,0.97736,0.94735,0.97711,0.67915,0.97539,0.5112,1.01251,0.000717875,0.000717875,0.000717875
45,23184.8,0.66981,0.45294,1.00553,0.97752,0.96384,0.98151,0.68547,0.93098,0.46027,0.98569,0.0007055,0.0007055,0.0007055
46,23698.5,0.6609,0.4448,1.00433,0.97015,0.96316,0.98152,0.686,0.94535,0.51318,0.99346,0.000693125,0.000693125,0.000693125
47,24212.5,0.66498,0.44584,1.00307,0.96915,0.96336,0.97788,0.6796,0.98497,0.54305,0.97328,0.00068075,0.00068075,0.00068075
48,24726.6,0.65817,0.4433,1.00178,0.97335,0.96142,0.9801,0.68166,1.01426,0.49925,1.06449,0.000668375,0.000668375,0.000668375
49,25240.5,0.65482,0.44766,1.00318,0.97392,0.96017,0.97802,0.66732,0.98421,0.4769,1.00405,0.000656,0.000656,0.000656
50,25754.4,0.65501,0.44099,1.00217,0.97155,0.94565,0.97158,0.68354,0.94643,0.46614,1.00853,0.000643625,0.000643625,0.000643625
51,26268.3,0.65725,0.43663,1.0011,0.97053,0.95578,0.97756,0.67288,0.95853,0.49937,1.01576,0.00063125,0.00063125,0.00063125
52,26782,0.6509,0.43899,0.99763,0.98444,0.94986,0.97818,0.68857,0.94732,0.47514,0.97368,0.000618875,0.000618875,0.000618875
53,27295.7,0.64755,0.4368,1.0004,0.9819,0.95876,0.97968,0.68652,0.96038,0.44628,0.98254,0.0006065,0.0006065,0.0006065
54,27812.3,0.64592,0.43591,0.99804,0.97836,0.95753,0.98049,0.6748,0.93934,0.45247,0.97442,0.000594125,0.000594125,0.000594125
55,28325.9,0.63056,0.42352,0.99375,0.9751,0.96124,0.97992,0.68244,0.94174,0.44466,0.97607,0.00058175,0.00058175,0.00058175
56,28839.5,0.64108,0.42926,0.99209,0.96977,0.95673,0.97636,0.67774,0.94174,0.44096,0.97348,0.000569375,0.000569375,0.000569375
57,29352.7,0.63186,0.42327,0.98969,0.97368,0.96138,0.97787,0.68689,0.92681,0.49089,1.00091,0.000557,0.000557,0.000557
58,29866.1,0.63501,0.42131,0.99449,0.98091,0.95326,0.98192,0.68773,0.95428,0.43931,0.96069,0.000544625,0.000544625,0.000544625
59,30379.1,0.62607,0.41573,0.98546,0.96248,0.95589,0.97734,0.68327,0.92568,0.49241,0.97832,0.00053225,0.00053225,0.00053225
60,30892.3,0.62707,0.42004,0.98754,0.97521,0.95714,0.97877,0.68542,0.96556,0.46879,0.96233,0.000519875,0.000519875,0.000519875
61,31406.2,0.62259,0.4162,0.98973,0.97797,0.95711,0.98053,0.68649,0.91119,0.43938,0.98689,0.0005075,0.0005075,0.0005075
62,31920.2,0.62376,0.41049,0.98998,0.96833,0.95884,0.97896,0.68467,0.9297,0.45695,0.94728,0.000495125,0.000495125,0.000495125
63,32434.2,0.61902,0.41368,0.99014,0.95985,0.95767,0.97602,0.68067,0.92577,0.42733,0.97022,0.00048275,0.00048275,0.00048275
64,32948.1,0.61615,0.41269,0.98616,0.9722,0.95763,0.97668,0.68432,0.8986,0.45179,0.95885,0.000470375,0.000470375,0.000470375
65,33462.2,0.61103,0.40495,0.98362,0.97389,0.95415,0.97966,0.68738,0.90054,0.46935,0.96263,0.000458,0.000458,0.000458
66,33975.9,0.60551,0.39885,0.98097,0.98074,0.94806,0.97501,0.68255,0.89214,0.4636,0.96456,0.000445625,0.000445625,0.000445625
