epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90731,3.12787,4.91004,3.70975,0.48412,0.15128,0.18582,0.09195,2.29502,3.29529,2.1925,0.000175,0.000175,0.000175
2,10.8203,2.34654,2.81816,2.26037,0.9959,0.31007,0.47556,0.28223,1.62736,1.40327,1.44991,0.000358911,0.000358911,0.000358911
3,15.2597,1.65341,1.42615,1.71982,0.52615,0.81474,0.81416,0.5147,1.22085,1.37505,1.22023,0.00053911,0.00053911,0.00053911
4,19.5093,1.33691,1.00098,1.41767,0.65233,0.81109,0.82129,0.50837,1.20745,1.65152,1.19309,0.000715596,0.000715596,0.000715596
5,23.6914,1.1787,1.00011,1.22418,0.91182,0.82308,0.83065,0.51835,1.15794,1.75112,1.15406,0.00088837,0.00088837,0.00088837
6,27.9479,1.08363,0.89409,1.16718,0.99387,0.82308,0.83502,0.61396,1.06263,1.33673,1.07443,0.00105743,0.00105743,0.00105743
7,32.187,1.03724,0.7988,1.15509,0.98634,0.82535,0.83643,0.70995,0.85484,0.85778,0.97912,0.00117575,0.00117575,0.00117575
8,36.6819,0.94812,0.71654,1.09481,0.98519,0.83333,0.83701,0.71697,0.80368,0.61163,0.94686,0.00116337,0.00116337,0.00116337
9,40.9939,0.8566,0.6268,1.05934,0.99192,0.83333,0.8568,0.75354,0.86466,0.54733,0.95605,0.001151,0.001151,0.001151
10,45.2495,0.80354,0.56497,1.0186,0.94556,0.9526,0.95294,0.76553,0.85079,0.48725,0.93279,0.00113863,0.00113863,0.00113863
11,49.5371,0.78776,0.5373,0.97624,0.94556,0.9526,0.95294,0.76553,0.85079,0.48725,0.93279,0.00112625,0.00112625,0.00112625
12,53.8506,0.756,0.50899,0.97264,0.97931,0.98135,0.98603,0.8127,0.7141,0.41891,0.89313,0.00111388,0.00111388,0.00111388
13,58.0755,0.74916,0.49145,0.96229,0.97182,0.97949,0.99075,0.8524,0.63342,0.38376,0.8732,0.0011015,0.0011015,0.0011015
14,62.3861,0.71846,0.45985,0.95134,0.93437,0.98462,0.9841,0.84913,0.65897,0.38461,0.88337,0.00108913,0.00108913,0.00108913
15,66.6353,0.71769,0.4726,0.96768,0.9442,0.97692,0.9806,0.84213,0.65912,0.37847,0.89364,0.00107675,0.00107675,0.00107675
16,72.8954,0.7125,0.47796,0.97903,0.96896,0.99231,0.98796,0.8389,0.63951,0.3732,0.91586,0.00106437,0.00106437,0.00106437
17,77.2784,0.68578,0.43718,0.96539,0.97983,0.99231,0.99039,0.83917,0.62343,0.35616,0.89014,0.001052,0.001052,0.001052
18,81.5047,0.69209,0.44672,0.97557,0.99074,0.99231,0.99087,0.84994,0.62571,0.34491,0.8737,0.00103962,0.00103962,0.00103962
19,85.7797,0.67192,0.44196,0.97215,0.99271,0.99231,0.99076,0.84146,0.64264,0.356,0.87955,0.00102725,0.00102725,0.00102725
