epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.779,0.94878,0.86005,1.27082,0.82845,0.82145,0.87977,0.6221,0.80652,0.64953,1.00833,0.000415889,0.000415889,0.000415889
2,294.003,0.74227,0.56969,1.10359,0.91113,0.89866,0.94604,0.75182,0.68403,0.49522,0.89375,0.000816071,0.000816071,0.000816071
3,439.593,0.70794,0.52287,1.07242,0.94627,0.91817,0.95706,0.76477,0.70895,0.49502,0.91895,0.00119975,0.00119975,0.00119975
4,585.173,0.67424,0.48406,1.04673,0.88386,0.91187,0.95655,0.7604,0.6504,0.45772,0.87538,0.00117575,0.00117575,0.00117575
5,731.635,0.65392,0.45928,1.03767,0.94849,0.92139,0.96868,0.78902,0.62886,0.45214,0.88014,0.001151,0.001151,0.001151
6,879.364,0.64017,0.45655,1.02893,0.95703,0.92313,0.9734,0.78208,0.64207,0.41691,0.87679,0.00112625,0.00112625,0.00112625
7,1025.46,0.62545,0.44176,1.01923,0.91602,0.95815,0.96874,0.7714,0.65485,0.44756,0.87731,0.0011015,0.0011015,0.0011015
8,1171.47,0.62475,0.43392,1.02369,0.92323,0.94389,0.97677,0.73388,0.65059,0.40991,0.86708,0.00107675,0.00107675,0.00107675
9,1320.22,0.60036,0.4149,1.00327,0.95717,0.95019,0.97945,0.79441,0.59566,0.39837,0.84483,0.001052,0.001052,0.001052
10,1466.64,0.59147,0.40679,0.99981,0.96506,0.94741,0.98067,0.78305,0.60146,0.39544,0.86722,0.00102725,0.00102725,0.00102725
11,1613.39,0.59272,0.40338,0.99958,0.95995,0.94343,0.98145,0.73826,0.6276,0.40117,0.90455,0.0010025,0.0010025,0.0010025
12,1759.76,0.57731,0.38886,0.99331,0.87676,0.94668,0.97783,0.7761,0.60417,0.40485,0.86914,0.00097775,0.00097775,0.00097775
13,1906.42,0.57322,0.38623,0.99339,0.96536,0.95579,0.98424,0.81964,0.56278,0.36504,0.80829,0.000953,0.000953,0.000953
14,2050.75,0.57072,0.38197,0.98909,0.92206,0.94517,0.98177,0.78365,0.59647,0.38907,0.86216,0.00092825,0.00092825,0.00092825
15,2195.62,0.57061,0.38368,0.98969,0.96384,0.96201,0.98446,0.80112,0.57742,0.37155,0.84756,0.0009035,0.0009035,0.0009035
16,2340.66,0.56475,0.37606,0.98551,0.95236,0.96649,0.98533,0.76272,0.58457,0.37984,0.88979,0.00087875,0.00087875,0.00087875
17,2485.28,0.56,0.36896,0.981,0.88053,0.95954,0.97611,0.79498,0.57697,0.37871,0.83933,0.000854,0.000854,0.000854
18,2634.51,0.55776,0.36401,0.9769,0.9639,0.95532,0.98616,0.80697,0.57324,0.35819,0.84906,0.00082925,0.00082925,0.00082925
19,2781.06,0.54237,0.35283,0.97461,0.96452,0.95997,0.98554,0.79283,0.55892,0.36802,0.8466,0.0008045,0.0008045,0.0008045
20,2927.17,0.54573,0.35736,0.97262,0.96643,0.96751,0.98687,0.80023,0.56769,0.35366,0.84022,0.00077975,0.00077975,0.00077975
21,3073.62,0.53396,0.34629,0.96803,0.90691,0.96595,0.98243,0.8043,0.56391,0.37476,0.84673,0.000755,0.000755,0.000755
22,3219.69,0.53033,0.34535,0.9661,0.96704,0.97086,0.98795,0.83395,0.55441,0.34944,0.82011,0.00073025,0.00073025,0.00073025
23,3366.12,0.52843,0.33891,0.96841,0.96862,0.97229,0.98786,0.84879,0.53717,0.34495,0.8082,0.0007055,0.0007055,0.0007055
24,3512.35,0.53869,0.34137,0.96759,0.84786,0.96618,0.95286,0.80331,0.53417,0.34947,0.81499,0.00068075,0.00068075,0.00068075
25,3658.76,0.53523,0.34402,0.96729,0.96217,0.97081,0.98865,0.8264,0.54843,0.3372,0.82765,0.000656,0.000656,0.000656
26,3805.08,0.52365,0.33749,0.958,0.96565,0.97519,0.9894,0.85722,0.53082,0.33125,0.80299,0.00063125,0.00063125,0.00063125
27,3951.57,0.51962,0.33392,0.95968,0.96924,0.97157,0.98885,0.81233,0.54984,0.34347,0.86392,0.0006065,0.0006065,0.0006065
28,4097.86,0.51961,0.33346,0.96271,0.95987,0.96772,0.98824,0.80882,0.55359,0.35022,0.87779,0.00058175,0.00058175,0.00058175
29,4247.44,0.51721,0.32688,0.95843,0.95978,0.97063,0.98778,0.83857,0.53527,0.34114,0.80918,0.000557,0.000557,0.000557
