epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3676,0.48746,0.36942,0.89434,0.98711,0.62557,0.64877,0.59886,0.39232,0.27647,0.8324,0.000413333,0.000413333,0.000413333
2,67.5647,0.44602,0.32209,0.86842,0.65953,0.64106,0.65396,0.61081,0.38942,0.2766,0.82136,0.000821783,0.000821783,0.000821783
3,100.046,0.44397,0.31598,0.86226,0.99671,0.64603,0.65956,0.61292,0.39675,0.24215,0.82127,0.00122198,0.00122198,0.00122198
4,132.293,0.43049,0.30555,0.85539,0.9942,0.65162,0.66122,0.61861,0.42242,0.2744,0.82293,0.00121287,0.00121287,0.00121287
5,164.574,0.42141,0.29435,0.85312,0.99525,0.65307,0.66217,0.62218,0.36551,0.25193,0.80696,0.0012005,0.0012005,0.0012005
6,196.795,0.39989,0.2849,0.85591,0.661,0.64442,0.6611,0.6111,0.41351,0.24638,0.81334,0.00118812,0.00118812,0.00118812
7,229.242,0.41445,0.28366,0.85321,0.66443,0.65242,0.66235,0.6249,0.33872,0.21609,0.79947,0.00117575,0.00117575,0.00117575
8,261.627,0.40372,0.27979,0.8518,0.99713,0.65764,0.66267,0.62542,0.40833,0.26478,0.81299,0.00116337,0.00116337,0.00116337
9,294.227,0.3893,0.26815,0.85015,0.66144,0.65324,0.66189,0.62229,0.38449,0.23904,0.80799,0.001151,0.001151,0.001151
10,326.759,0.4072,0.27492,0.84524,0.99644,0.65059,0.66202,0.62348,0.38788,0.22657,0.8017,0.00113863,0.00113863,0.00113863
11,359.614,0.39454,0.27028,0.84035,0.99463,0.65719,0.6626,0.62555,0.34849,0.23738,0.79964,0.00112625,0.00112625,0.00112625
12,392.384,0.407,0.26353,0.84748,0.99492,0.65491,0.66262,0.6265,0.35874,0.23314,0.80289,0.00111388,0.00111388,0.00111388
13,425.079,0.37484,0.25551,0.84086,0.99796,0.65806,0.66291,0.63277,0.34717,0.21425,0.79781,0.0011015,0.0011015,0.0011015
14,457.666,0.36309,0.2449,0.83951,0.9959,0.65714,0.66284,0.63475,0.32141,0.20416,0.79457,0.00108913,0.00108913,0.00108913
15,490.337,0.37311,0.24837,0.83456,0.99663,0.65806,0.66283,0.62949,0.31215,0.2027,0.79493,0.00107675,0.00107675,0.00107675
16,522.896,0.36728,0.25067,0.83486,0.99716,0.66015,0.66312,0.63598,0.33065,0.21663,0.79476,0.00106437,0.00106437,0.00106437
17,555.546,0.35748,0.24584,0.8375,0.99782,0.661,0.66309,0.63389,0.34068,0.22922,0.79738,0.001052,0.001052,0.001052
18,588.251,0.36555,0.25009,0.83923,0.99507,0.65621,0.66282,0.63341,0.33116,0.20536,0.79241,0.00103962,0.00103962,0.00103962
19,621.225,0.36085,0.24932,0.83906,0.99655,0.65415,0.66276,0.63285,0.32166,0.20195,0.79335,0.00102725,0.00102725,0.00102725
20,653.628,0.34995,0.24186,0.83537,0.99691,0.6589,0.66298,0.62985,0.35421,0.22674,0.79521,0.00101488,0.00101488,0.00101488
