epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6404.89,0.67763,0.47042,1.00886,0.93687,0.90039,0.94126,0.72997,0.77048,0.45954,0.92596,0.00091175,0.00091175,0.00091175
43,6553.3,0.67132,0.46745,1.0088,0.94751,0.89885,0.94281,0.72916,0.76998,0.45391,0.91006,0.0009035,0.0009035,0.0009035
44,6706.48,0.67148,0.46726,1.00675,0.95049,0.89909,0.94164,0.73195,0.76169,0.44572,0.91102,0.00089525,0.00089525,0.00089525
45,6859.71,0.67136,0.46775,1.00762,0.93328,0.90504,0.94489,0.73261,0.76168,0.44227,0.94144,0.000887,0.000887,0.000887
46,7012.72,0.66852,0.46656,1.00746,0.93602,0.90345,0.93983,0.72766,0.77833,0.44622,0.92264,0.00087875,0.00087875,0.00087875
47,7166.34,0.67011,0.46469,1.00991,0.93865,0.89895,0.93958,0.73121,0.76313,0.45841,0.91936,0.0008705,0.0008705,0.0008705
48,7317.98,0.65914,0.46045,1.00357,0.93417,0.90687,0.94212,0.73516,0.75875,0.45325,0.93161,0.00086225,0.00086225,0.00086225
49,7471.67,0.66435,0.46518,1.00369,0.94581,0.89737,0.93739,0.73268,0.76995,0.4662,0.94317,0.000854,0.000854,0.000854
50,7623.5,0.65424,0.45685,1.00133,0.9435,0.90163,0.94413,0.7371,0.76616,0.44535,0.92586,0.00084575,0.00084575,0.00084575
51,7774.85,0.65308,0.45167,0.99617,0.9446,0.90762,0.94601,0.74664,0.75306,0.43787,0.91394,0.0008375,0.0008375,0.0008375
52,7928.32,0.64498,0.4497,0.99738,0.9482,0.8901,0.93995,0.73309,0.75339,0.43853,0.93985,0.00082925,0.00082925,0.00082925
53,8081.83,0.64622,0.43959,0.99653,0.9439,0.89702,0.93992,0.74409,0.74262,0.44681,0.91334,0.000821,0.000821,0.000821
54,8234.42,0.644,0.44346,0.99536,0.95091,0.90804,0.94628,0.74253,0.74836,0.43335,0.9135,0.00081275,0.00081275,0.00081275
55,8387.32,0.63527,0.43983,0.99114,0.94675,0.89977,0.94438,0.74621,0.74406,0.43674,0.92242,0.0008045,0.0008045,0.0008045
56,8540.56,0.63534,0.4403,0.99386,0.94101,0.90413,0.94815,0.74929,0.74426,0.43022,0.91693,0.00079625,0.00079625,0.00079625
57,8693.46,0.64304,0.44006,0.99477,0.95441,0.89703,0.94179,0.74202,0.72298,0.42505,0.88586,0.000788,0.000788,0.000788
58,8846.03,0.6325,0.43683,0.99276,0.94403,0.90778,0.94387,0.74112,0.74539,0.4561,0.92269,0.00077975,0.00077975,0.00077975
59,8998.31,0.62728,0.43673,0.98871,0.95316,0.90685,0.94676,0.74401,0.74239,0.43204,0.90554,0.0007715,0.0007715,0.0007715
60,9150.89,0.62955,0.42991,0.98906,0.94604,0.9004,0.94144,0.7419,0.73016,0.42902,0.9066,0.00076325,0.00076325,0.00076325
61,9303.43,0.62763,0.4347,0.98501,0.9472,0.90514,0.94632,0.75005,0.72056,0.42775,0.89869,0.000755,0.000755,0.000755
62,9456.86,0.63056,0.4327,0.98712,0.94009,0.911,0.9467,0.74525,0.73002,0.42639,0.90592,0.00074675,0.00074675,0.00074675
63,9608.96,0.62254,0.42799,0.98727,0.95045,0.90394,0.94816,0.75247,0.71157,0.42102,0.88948,0.0007385,0.0007385,0.0007385
64,9761.51,0.6265,0.42722,0.98358,0.9555,0.89826,0.94475,0.74946,0.7152,0.42518,0.89436,0.00073025,0.00073025,0.00073025
65,9913.84,0.61962,0.42195,0.98349,0.95221,0.89773,0.94645,0.74645,0.72197,0.41704,0.89587,0.000722,0.000722,0.000722
66,10065.9,0.61733,0.42192,0.98126,0.95006,0.90395,0.94251,0.74434,0.72687,0.42553,0.89419,0.00071375,0.00071375,0.00071375
67,10218.4,0.62283,0.42462,0.98475,0.94603,0.91008,0.94618,0.75071,0.728,0.42244,0.89946,0.0007055,0.0007055,0.0007055
68,10370.7,0.61891,0.42224,0.98311,0.94571,0.91156,0.945,0.74826,0.7533,0.42606,0.90444,0.00069725,0.00069725,0.00069725
69,10522.6,0.61513,0.41763,0.98092,0.94567,0.9107,0.94211,0.74756,0.72079,0.41679,0.89876,0.000689,0.000689,0.000689
70,10675.4,0.60839,0.41314,0.97515,0.95027,0.90591,0.94762,0.75345,0.7109,0.42597,0.8889,0.00068075,0.00068075,0.00068075
71,10828,0.60957,0.41866,0.97783,0.95444,0.89403,0.94543,0.75132,0.73018,0.43817,0.90812,0.0006725,0.0006725,0.0006725
72,10980.1,0.61143,0.4177,0.98052,0.96347,0.89907,0.94721,0.75775,0.71948,0.42036,0.89916,0.00066425,0.00066425,0.00066425
73,11132.5,0.60164,0.41155,0.97763,0.96331,0.89683,0.94523,0.75666,0.70849,0.409,0.88916,0.000656,0.000656,0.000656
74,11285,0.59979,0.40788,0.9786,0.95643,0.90393,0.94568,0.75153,0.71599,0.41292,0.89893,0.00064775,0.00064775,0.00064775
75,11437.4,0.60491,0.41117,0.97348,0.96019,0.90134,0.94719,0.76214,0.71157,0.41224,0.88994,0.0006395,0.0006395,0.0006395
76,11589.6,0.60854,0.41103,0.97541,0.95423,0.90489,0.94443,0.7571,0.70593,0.41338,0.89166,0.00063125,0.00063125,0.00063125
77,11741.1,0.6015,0.40567,0.97451,0.96218,0.90305,0.94458,0.75567,0.69652,0.40433,0.88099,0.000623,0.000623,0.000623
78,11893.5,0.59287,0.40022,0.97211,0.95061,0.90407,0.93981,0.75428,0.70693,0.41865,0.88173,0.00061475,0.00061475,0.00061475
